function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
polynomial,3,128,0.5,0.01,1,5.401005973815918,,540.1005973815918,540.1005973815918
polynomial,3,128,0.5,0.1,1,5.39938440322876,,53.9938440322876,53.9938440322876
polynomial,3,128,0.5,1.0,1,5.391605377197266,,5.391605377197266,5.391605377197266
polynomial,3,256,0.1,0.0001,1,5.728140966796875,,57281.40966796875,57281.40966796875
polynomial,3,256,0.1,0.001,1,4.97066109085083,,4970.66109085083,4970.66109085083
polynomial,3,256,0.1,0.01,1,4.968793621063233,,496.8793621063232,496.8793621063232
polynomial,3,256,0.1,0.1,1,5.734648132324219,,57.34648132324219,57.34648132324219
polynomial,3,256,0.1,1.0,1,5.735753059387207,,5.735753059387207,5.735753059387207
polynomial,3,256,0.5,0.0001,1,4.975293295288086,,49752.93295288086,49752.93295288086
polynomial,3,256,0.5,0.001,1,4.974892066955566,,4974.892066955566,4974.892066955566
polynomial,3,256,0.5,0.01,1,4.972296466827393,,497.22964668273926,497.22964668273926
polynomial,3,256,0.5,0.1,1,5.73681869506836,,57.368186950683594,57.368186950683594
polynomial,3,256,0.5,1.0,1,5.739939212799072,,5.739939212799072,5.739939212799072
polynomial,5,64,0.1,0.0001,1,8.65131841430664,,86513.1841430664,86513.1841430664
polynomial,5,64,0.1,0.001,1,7.253353523254394,,7253.353523254394,7253.353523254394
polynomial,5,64,0.1,0.01,1,2.154735794067383,,215.4735794067383,215.4735794067383
polynomial,5,64,0.1,0.1,1,16.29482307434082,,162.94823074340815,162.94823074340815
polynomial,5,64,0.1,1.0,1,4.72408390045166,,4.72408390045166,4.72408390045166
polynomial,5,64,0.5,0.0001,1,21.32113157043457,,213211.3157043457,213211.3157043457
polynomial,5,64,0.5,0.001,1,1.3610589036941527,,1361.0589036941526,1361.0589036941526
polynomial,5,64,0.5,0.01,1,8.26644588470459,,826.644588470459,826.644588470459
polynomial,5,64,0.5,0.1,1,15.713499450683594,,157.13499450683594,157.13499450683594
polynomial,5,64,0.5,1.0,1,4.3349928855896,,4.3349928855896,4.3349928855896
polynomial,5,128,0.1,0.0001,1,7.4810093475341795,,74810.0934753418,74810.0934753418
polynomial,5,128,0.1,0.001,1,1.1400737295150756,,1140.0737295150757,1140.0737295150757
polynomial,5,128,0.1,0.01,1,22.6308576965332,,2263.0857696533203,2263.0857696533203
polynomial,5,128,0.1,1.0,1,33.8774299621582,,33.8774299621582,33.8774299621582
polynomial,5,128,0.5,0.0001,1,2.6164180206298826,,26164.180206298824,26164.180206298824
polynomial,5,128,0.5,0.001,1,27.53459603881836,,27534.59603881836,27534.59603881836
polynomial,5,128,0.5,0.01,1,8.026164283752442,,802.6164283752441,802.6164283752441
polynomial,5,128,0.5,0.1,1,7.4319242477417,,74.31924247741699,74.31924247741699
polynomial,5,128,0.5,1.0,1,31.226451873779297,,31.226451873779297,31.226451873779297
polynomial,5,256,0.1,0.0001,1,11.497450964355467,,114974.50964355467,114974.50964355467
polynomial,5,256,0.1,0.001,1,15.675965713500975,,15675.965713500977,15675.965713500977
polynomial,5,256,0.1,0.01,1,15.15419792175293,,1515.419792175293,1515.419792175293
polynomial,5,256,0.1,0.1,1,8.662414169311523,0.0,86.62414169311522,86.62414169311522
polynomial,5,256,0.1,1.0,1,12.040868759155272,,12.040868759155272,12.040868759155272
polynomial,5,256,0.5,0.0001,1,9.271768705749512,,92717.68705749512,92717.68705749512
polynomial,5,256,0.5,0.001,1,3.3732096424102784,,3373.2096424102783,3373.2096424102783
polynomial,5,256,0.5,0.01,1,8.606127014160156,,860.6127014160156,860.6127014160156
polynomial,5,256,0.5,0.1,1,21.607564544677736,,216.07564544677737,216.07564544677737
polynomial,5,256,0.5,1.0,1,8.390242099761963,,8.390242099761963,8.390242099761963
sine,1,64,0.1,0.0001,1,0.0023150308359414337,,23.150308359414336,23.150308359414336
sine,1,64,0.1,0.001,1,0.0006639823366422206,,0.6639823366422206,0.6639823366422206
sine,1,64,0.1,0.01,1,0.001745212599635124,,0.1745212599635124,0.1745212599635124
sine,1,64,0.1,0.1,1,0.04886189326643944,,0.4886189326643944,0.4886189326643944
sine,1,64,0.1,1.0,1,0.7082585096359253,,0.7082585096359253,0.7082585096359253
sine,1,64,0.5,0.0001,1,0.004043869378417731,,40.4386937841773,40.4386937841773
sine,1,64,0.5,0.001,1,0.0015306709790602329,,1.5306709790602326,1.5306709790602326
sine,1,64,0.5,0.01,1,0.0016105629131197927,,0.1610562913119793,0.1610562913119793
sine,1,64,0.5,0.1,1,0.011788816750049586,,0.11788816750049586,0.11788816750049586
sine,1,64,0.5,1.0,1,0.020980238914489743,,0.020980238914489743,0.020980238914489743
sine,1,128,0.1,0.0001,1,0.0002732601085677743,,2.732601085677743,2.732601085677743
sine,1,128,0.1,0.001,1,0.0010418770145624876,,1.0418770145624876,1.0418770145624876
sine,1,128,0.1,0.01,1,1.618266105649774e-07,,1.6182661056497738e-05,1.6182661056497738e-05
sine,1,128,0.1,0.1,1,0.008463880419731146,,0.08463880419731146,0.08463880419731146
sine,1,128,0.1,1.0,1,1.340794563293457,,1.340794563293457,1.340794563293457
sine,1,128,0.5,0.0001,1,0.0012689961051568388,,12.689961051568387,12.689961051568387
sine,1,128,0.5,0.001,1,0.0026164987832307815,,2.6164987832307816,2.6164987832307816
sine,1,128,0.5,0.01,1,0.003731695711612701,,0.3731695711612701,0.3731695711612701
